@RELATION bcica5
@ATTRIBUTE ica0     REAL
@ATTRIBUTE ica1     REAL
@ATTRIBUTE ica2     REAL
@ATTRIBUTE ica3     REAL
@ATTRIBUTE ica4     REAL
@ATTRIBUTE class    {0.000000,1.000000}

@DATA
-1.530356, 0.231021, 0.786403, -0.374002, 3.640317,0.000000
-0.082439, -0.121069, 0.231352, -0.337592, 0.690668,0.000000
1.277174, 0.305609, -0.275629, 0.360095, 0.055040,0.000000
-1.915723, 0.245889, 1.332593, 0.659920, -2.347250,0.000000
0.018005, -0.428127, -1.753896, 0.936167, -1.002388,0.000000
0.068809, -0.044771, -0.240789, 0.101616, -0.467612,0.000000
-1.330882, 0.187960, 0.513184, -0.724147, 0.437755,0.000000
0.740889, 0.029827, -0.110098, -0.035761, -0.184179,0.000000
0.010810, 0.182892, -0.180740, 0.005308, -0.432189,0.000000
2.131234, 0.130142, -0.519122, 0.625843, -0.477842,0.000000
0.074520, 0.103987, -0.527643, -0.298875, 0.291940,0.000000
0.062100, -0.140428, -0.619503, -0.243657, 0.177459,0.000000
0.151933, 0.933864, 5.762447, 0.677470, -0.220549,0.000000
-0.664198, -0.219666, -1.544791, -0.267830, -0.340393,0.000000
-0.417428, 0.169285, 0.222594, 0.085049, -0.183210,0.000000
1.174362, -0.231320, -0.129199, -0.232114, -0.311181,0.000000
-0.143603, 0.209822, -0.174465, -0.314061, 0.083826,0.000000
-1.214984, 0.224247, -0.074806, -0.644253, -0.046284,0.000000
-0.265864, 0.407742, 0.268305, -1.724972, 4.005015,0.000000
-0.195534, 0.239630, -0.373142, -0.170989, 0.011967,1.000000
-0.394834, -0.005234, 0.000588, 0.014751, -0.217409,1.000000
1.196634, -0.060062, -0.659373, -0.007534, -0.007213,1.000000
-1.410446, 0.046595, -0.422601, -0.061128, 0.007239,0.000000
-0.519600, -0.142400, -0.474337, -2.440439, 3.500710,0.000000
-1.507725, -0.047388, 0.377317, -2.544655, 4.054593,0.000000
-0.151102, 0.166958, -0.236335, -0.022249, -0.050852,0.000000
-0.641665, -0.328859, -0.045785, 0.372428, -0.925623,0.000000
0.623280, -0.434280, -0.367383, 0.578036, -0.559985,0.000000
-0.535978, -0.175879, -0.491546, -0.919186, 0.323333,0.000000
0.641665, -0.280947, 0.000934, 0.017809, -0.605797,0.000000
-0.201157, -0.061098, 0.315252, -0.127981, 0.910363,0.000000
0.521047, 0.087467, 0.041277, -0.187502, -0.245140,0.000000
-0.178152, -0.076560, 0.026373, -0.000454, -0.075095,0.000000
0.875899, -0.555584, 0.547263, -0.592829, 0.540387,0.000000
-0.014889, -0.143181, -0.704367, -0.308452, -0.125205,0.000000
0.410423, 0.462373, -0.214005, -0.552548, -0.008107,0.000000
0.642113, -0.535414, -0.366245, -0.407334, 0.086694,0.000000
0.479130, -0.433993, 3.275379, -0.169482, 0.064296,1.000000
9.765449, -0.470167, 0.748571, 0.489160, -0.333481,0.000000
-0.944753, -0.004441, 1.359129, 0.129803, -0.165422,0.000000
-0.632614, 0.088253, -0.523230, 0.111791, -0.168979,0.000000
-0.298098, 0.666407, -0.389849, -0.026290, 0.025076,0.000000
-2.746883, 0.603387, 0.518294, -0.204020, -0.259328,0.000000
-0.684476, 0.219603, 0.070035, -0.077718, -0.582354,0.000000
0.231338, -0.044375, 0.304546, 0.644538, -1.283876,0.000000
0.115204, 0.506886, 0.904456, -0.057006, -0.219345,0.000000
-0.320661, 0.082403, -0.515914, 0.173479, 0.048957,1.000000
0.405744, 0.060487, 0.411193, 0.105964, -0.241790,0.000000
0.333659, 0.336687, 0.018389, -0.022718, -0.192695,1.000000
-0.335027, 0.339238, -0.028565, 0.045556, -0.049217,1.000000
0.651511, 0.021453, 0.320554, -0.078370, -0.185865,1.000000
0.149870, 0.122946, 0.061286, -0.027753, -0.100513,1.000000
-0.233869, 0.078576, -0.429336, 0.047402, 0.042977,1.000000
0.138524, 0.004633, 1.455276, 0.730439, -0.251925,0.000000
-0.619014, 0.242574, -0.257174, -0.200765, 0.146090,0.000000
-0.649342, 0.150135, -0.367088, -0.017735, -0.083843,1.000000
-0.139651, -0.233679, 0.463791, -1.231275, 3.093992,0.000000
